label,source_log,compact_total_s,compact_comm_gb,bench_latency_s,bench_comm_gb,total_running_time_s,embedding_time_s,matmul_time_s,softmax_time_s,silu_time_s,layernorm_time_s,tanh_time_s,conv_time_s,other_time_s,total_comm_time_s,embedding_comm_time_s,matmul_comm_time_s,softmax_comm_time_s,silu_comm_time_s,layernorm_comm_time_s,tanh_comm_time_s,conv_comm_time_s,other_comm_time_s,total_comm_bytes_gb,embedding_comm_bytes_gb,matmul_comm_bytes_gb,softmax_comm_bytes_gb,silu_comm_bytes_gb,layernorm_comm_bytes_gb,tanh_comm_bytes_gb,conv_comm_bytes_gb,other_comm_bytes_gb,total_comm_rounds,embedding_comm_rounds,matmul_comm_rounds,softmax_comm_rounds,silu_comm_rounds,layernorm_comm_rounds,tanh_comm_rounds,conv_comm_rounds,other_comm_rounds
llama2_fourier,/home/ylu18/luoresearch/2PC/results/llama2_experiment_20260505_024339/shaft_llama2_seq8_8layer_fourier.log,45.61,28.78,45.61,28.78,45.60700988769531,4.190073251724243,37.006999254226685,0.7322566509246826,0.6989452838897705,0.0,0.0,0.0,6.508827209472656e-05,18.96122772525996,2.5560670159757137,14.675011766143143,0.3185742925852537,0.5094433068297803,0.0,0.0,0.0,0.9340448281727731,28.778026819229126,1.9569398164749146,26.12451171875,0.02978515625,0.619384765625,0.0,0.0,0.0,0.047405362129211426,1997,2,73,328,152,0,0,0,1442
llama2_d2poly,/home/ylu18/luoresearch/2PC/results/llama2_experiment_20260505_024339/shaft_llama2_seq8_8layer_d2poly.log,44.07,28.17,44.07,28.17,44.07262063026428,3.6231491565704346,36.6522262096405,0.7386724948883057,0.037654876708984375,0.0,0.0,0.0,6.508827209472656e-05,17.631706287618726,1.992516634054482,14.3273571068421,0.3230294990353286,0.013523292727768421,0.0,0.0,0.0,0.9752797549590468,28.169140100479126,1.9569398164749146,26.12451171875,0.02978515625,0.010498046875,0.0,0.0,0.0,0.047405362129211426,1853,2,73,328,8,0,0,0,1442
