label,kind,total_s,online_s,offline_s,sent_mb,recv_mb,wire_tb,comm_gb,bw_gbps,tput_cps,prg_s,localmm_s,gilboa_s,file_s,ot_calls,total_ots,M,K,N,iterations,total_s_all_iterations,comm_s,gemm_s,source_log
llama_W_QKV,online,0.1191002,0.1191002,,134.479872,134.479872,0.000134479872,0.134479872,9.033057677485008,,0.0016685000000000018,,,,,,8,4096,4096,100,11.910020000000001,0.10626420000000002,0.0011136000000000002,/home/ylu18/luoresearch/2PC/results/llama2_experiment_20260505_024339/brillm_online_llama_W_QKV.log
llama_W_O,online,0.11763230000000002,0.11763230000000002,,134.479872,134.479872,0.000134479872,0.134479872,9.145778633929625,,0.0016778000000000019,,,,,,8,4096,4096,100,11.763230000000002,0.10478690000000004,0.0011166000000000006,/home/ylu18/luoresearch/2PC/results/llama2_experiment_20260505_024339/brillm_online_llama_W_O.log
llama_W_gateup,online,0.3084756000000002,0.3084756000000002,,360.972288,360.972288,0.000360972288,0.360972288,9.361448049699874,,0.0044815000000000054,,,,,,8,4096,11008,100,30.84756000000002,0.2747654999999999,0.002358600000000002,/home/ylu18/luoresearch/2PC/results/llama2_experiment_20260505_024339/brillm_online_llama_W_gateup.log
llama_W_down,online,0.3105402000000001,0.3105402000000001,,361.414656,361.414656,0.000361414656,0.361414656,9.310605351577667,,0.004489200000000006,,,,,,8,11008,4096,100,31.05402000000001,0.2761882000000001,0.0029594999999999977,/home/ylu18/luoresearch/2PC/results/llama2_experiment_20260505_024339/brillm_online_llama_W_down.log
llama_QKT,online,8.459000000000011e-05,8.459000000000011e-05,,0.016384,0.016384,1.6384e-08,1.6383999999999998e-05,1.5494975765456889,,1.0039999999999831e-05,,,,,,8,128,8,1000,0.08459000000000011,2.2889999999999776e-05,2.0039999999999666e-05,/home/ylu18/luoresearch/2PC/results/llama2_experiment_20260505_024339/brillm_online_llama_QKT.log
llama_scoresV,online,7.024999999999962e-05,7.024999999999962e-05,,0.008704,0.008704,8.704e-09,8.704e-06,0.9912028469750943,,9.999999999999831e-06,,,,,,8,8,128,1000,0.07024999999999962,2.0389999999999668e-05,1.006999999999983e-05,/home/ylu18/luoresearch/2PC/results/llama2_experiment_20260505_024339/brillm_online_llama_scoresV.log
