label,op,count,time_ms,comm_mb,bw_gbps
llama_W_QKV,W_Q/K/V,96,11433.619200000001,12910.067712,9.033057677485008
llama_W_O,W_O,32,3764.233600000001,4303.355904,9.145778633929625
llama_W_gateup,W_gate/up,64,19742.43840000001,23102.226432,9.361448049699872
llama_W_down,W_down,32,9937.286400000003,11565.268992,9.310605351577667
llama_QKT,Q@K^T,1024,86.62016000000011,16.777216,1.5494975765456886
llama_scoresV,scores@V,1024,71.93599999999961,8.912896,0.9912028469750943
