label,kind,total_s,online_s,offline_s,sent_mb,recv_mb,wire_tb,comm_gb,bw_gbps,tput_cps,prg_s,localmm_s,gilboa_s,file_s,ot_calls,total_ots,M,K,N,iterations,total_s_all_iterations,comm_s,gemm_s,source_log
bert_W_QKV,online,0.0020714999999999714,0.0020714999999999714,,5.505024,5.505024,5.505024e-06,0.005505024,21.26004923968168,,7.005999999999965e-05,,,,,,128,768,768,1000,2.0714999999999715,0.0011245700000000016,0.0002731900000000019,/home/ylu18/luoresearch/2PC/results/bert_hybrid_20260505_050846/brillm_online_bert_W_QKV.log
bert_W_O,online,0.0020520599999999697,0.0020520599999999697,,5.505024,5.505024,5.505024e-06,0.005505024,21.46145434344057,,7.007999999999964e-05,,,,,,128,768,768,1000,2.05205999999997,0.0011043800000000025,0.0002711100000000029,/home/ylu18/luoresearch/2PC/results/bert_hybrid_20260505_050846/brillm_online_bert_W_O.log
bert_W_1,online,0.009638480000000005,0.009638480000000005,,19.6608,19.6608,1.96608e-05,0.0196608,16.31858965314032,,0.00025062000000000055,,,,,,128,768,3072,500,4.819240000000002,0.006829780000000007,0.001006019999999995,/home/ylu18/luoresearch/2PC/results/bert_hybrid_20260505_050846/brillm_online_bert_W_1.log
bert_W_2,online,0.011269919999999977,0.011269919999999977,,22.020096,22.020096,2.2020096e-05,0.022020096,15.631057540781157,,0.00028224000000000126,,,,,,128,3072,768,500,5.634959999999988,0.00806790000000002,0.0012048799999999995,/home/ylu18/luoresearch/2PC/results/bert_hybrid_20260505_050846/brillm_online_bert_W_2.log
bert_QKT,online,0.00010186999999999866,0.00010186999999999866,,0.131072,0.131072,1.31072e-07,0.00013107199999999998,10.293275743594913,,1.0019999999999831e-05,,,,,,128,64,128,1000,0.10186999999999866,4.017999999999933e-05,2.0009999999999664e-05,/home/ylu18/luoresearch/2PC/results/bert_hybrid_20260505_050846/brillm_online_bert_QKT.log
bert_scoresV,online,0.0001308899999999983,0.0001308899999999983,,0.196608,0.196608,1.96608e-07,0.000196608,12.016685766674462,,1.0019999999999831e-05,,,,,,128,128,64,1000,0.1308899999999983,5.036999999999933e-05,2.8430000000000228e-05,/home/ylu18/luoresearch/2PC/results/bert_hybrid_20260505_050846/brillm_online_bert_scoresV.log
