label,op,count,time_ms,comm_mb,bw_gbps
bert_W_QKV,W_Q/K/V,36,110.15784000000023,198.18086399999999,14.392501813761022
bert_W_O,W_O,12,36.80856000000008,66.060288,14.357592473055147
bert_W_1,W_1,12,162.93816000000007,235.9296,11.583761593969143
bert_W_2,W_2,12,182.99688,264.241152,11.551722717895517
bert_QKT,Q@K^T,144,21.73248000000036,18.874367999999997,6.94789292340301
bert_scoresV,scores@V,144,33.04079999999963,28.311552,6.8549313575943245
