label,kind,total_s,online_s,offline_s,sent_mb,recv_mb,wire_tb,comm_gb,bw_gbps,tput_cps,prg_s,localmm_s,gilboa_s,file_s,ot_calls,total_ots,M,K,N,iterations,total_s_all_iterations,comm_s,gemm_s,source_log
bert_W_QKV,online,0.003059940000000006,0.003059940000000006,,5.505024,5.505024,5.505024e-06,0.005505024,14.392501813761024,,7.770999999999873e-05,,,,,,128,768,768,1000,3.0599400000000063,0.002236410000000011,0.00028406999999999977,/home/ylu18/luoresearch/2PC/results/bert_hybrid_20260505_020113/brillm_online_bert_W_QKV.log
bert_W_O,online,0.0030673800000000067,0.0030673800000000067,,5.505024,5.505024,5.505024e-06,0.005505024,14.35759247305515,,7.952999999999869e-05,,,,,,128,768,768,1000,3.0673800000000067,0.002239690000000008,0.0002847099999999991,/home/ylu18/luoresearch/2PC/results/bert_hybrid_20260505_020113/brillm_online_bert_W_O.log
bert_W_1,online,0.013578180000000006,0.013578180000000006,,19.6608,19.6608,1.96608e-05,0.0196608,11.583761593969143,,0.0002509200000000002,,,,,,128,768,3072,500,6.7890900000000025,0.01079572,0.0010124199999999952,/home/ylu18/luoresearch/2PC/results/bert_hybrid_20260505_020113/brillm_online_bert_W_1.log
bert_W_2,online,0.01524974,0.01524974,,22.020096,22.020096,2.2020096e-05,0.022020096,11.551722717895519,,0.00028136000000000106,,,,,,128,3072,768,500,7.62487,0.012058679999999988,0.0012114400000000022,/home/ylu18/luoresearch/2PC/results/bert_hybrid_20260505_020113/brillm_online_bert_W_2.log
bert_QKT,online,0.00015092000000000252,0.00015092000000000252,,0.131072,0.131072,1.31072e-07,0.00013107199999999998,6.947892923403011,,1.0029999999999831e-05,,,,,,128,64,128,1000,0.15092000000000252,8.21099999999992e-05,2.0019999999999663e-05,/home/ylu18/luoresearch/2PC/results/bert_hybrid_20260505_020113/brillm_online_bert_QKT.log
bert_scoresV,online,0.00022944999999999742,0.00022944999999999742,,0.196608,0.196608,1.96608e-07,0.000196608,6.8549313575943245,,1.0029999999999831e-05,,,,,,128,128,64,1000,0.2294499999999974,0.00014790000000000107,3.001000000000038e-05,/home/ylu18/luoresearch/2PC/results/bert_hybrid_20260505_020113/brillm_online_bert_scoresV.log
