==== bert_W_QKV (128,768,768), iters=1000 ====
[PCG] Loaded from /home/ylu18/luoresearch/2PC/results/bert_hybrid_20260505_020113/brillm_dummy_pcg/bert_W_QKV_party0.bin
[PCG] Matrix: [128×768] × [768×768] = [128×768], k=64-bit

╔═══════════════════════════════════════════════════════════╗
║  GPU Matrix Beaver Online                                 ║
║  Y = X × W                                                ║
╠═══════════════════════════════════════════════════════════╣
║  GPU: NVIDIA RTX A6000                               ║
║  Matrix: [128×768] × [768×768] = [128×768]                      
║  k_bits: 64                                              ║
║  iterations: 1000                                         ║
╚═══════════════════════════════════════════════════════════╝

Iter 61: total=3.03 ms, PRG=0.07 ms, comm=2.22 ms, GEMM=0.28 ms
Iter 62: total=3.02 ms, PRG=0.07 ms, comm=2.22 ms, GEMM=0.28 ms
Iter 63: total=3.14 ms, PRG=0.07 ms, comm=2.32 ms, GEMM=0.28 ms
Iter 64: total=3.04 ms, PRG=0.07 ms, comm=2.22 ms, GEMM=0.28 ms
Iter 65: total=3.03 ms, PRG=0.07 ms, comm=2.23 ms, GEMM=0.27 ms
Iter 66: total=3.00 ms, PRG=0.07 ms, comm=2.18 ms, GEMM=0.28 ms
Iter 67: total=2.99 ms, PRG=0.07 ms, comm=2.19 ms, GEMM=0.28 ms
Iter 68: total=3.03 ms, PRG=0.07 ms, comm=2.21 ms, GEMM=0.28 ms
Iter 69: total=3.04 ms, PRG=0.07 ms, comm=2.23 ms, GEMM=0.28 ms
Iter 70: total=3.01 ms, PRG=0.07 ms, comm=2.21 ms, GEMM=0.28 ms
Iter 71: total=3.00 ms, PRG=0.07 ms, comm=2.18 ms, GEMM=0.28 ms
Iter 72: total=3.04 ms, PRG=0.07 ms, comm=2.25 ms, GEMM=0.27 ms
Iter 73: total=3.03 ms, PRG=0.07 ms, comm=2.21 ms, GEMM=0.28 ms
Iter 74: total=3.22 ms, PRG=0.07 ms, comm=2.40 ms, GEMM=0.27 ms
Iter 75: total=3.02 ms, PRG=0.07 ms, comm=2.19 ms, GEMM=0.28 ms
Iter 76: total=3.01 ms, PRG=0.07 ms, comm=2.19 ms, GEMM=0.28 ms
Iter 77: total=3.06 ms, PRG=0.07 ms, comm=2.26 ms, GEMM=0.28 ms
Iter 78: total=3.01 ms, PRG=0.07 ms, comm=2.21 ms, GEMM=0.28 ms
Iter 79: total=2.98 ms, PRG=0.07 ms, comm=2.15 ms, GEMM=0.28 ms
Iter 80: total=3.04 ms, PRG=0.07 ms, comm=2.21 ms, GEMM=0.28 ms
Iter 81: total=3.02 ms, PRG=0.07 ms, comm=2.19 ms, GEMM=0.28 ms
Iter 82: total=3.01 ms, PRG=0.07 ms, comm=2.20 ms, GEMM=0.28 ms
Iter 83: total=3.04 ms, PRG=0.07 ms, comm=2.23 ms, GEMM=0.28 ms
Iter 84: total=3.02 ms, PRG=0.07 ms, comm=2.23 ms, GEMM=0.28 ms
Iter 85: total=3.02 ms, PRG=0.07 ms, comm=2.21 ms, GEMM=0.28 ms
Iter 86: total=3.03 ms, PRG=0.07 ms, comm=2.23 ms, GEMM=0.28 ms
Iter 87: total=3.00 ms, PRG=0.07 ms, comm=2.20 ms, GEMM=0.28 ms
Iter 88: total=3.02 ms, PRG=0.07 ms, comm=2.20 ms, GEMM=0.28 ms
Iter 89: total=3.02 ms, PRG=0.07 ms, comm=2.20 ms, GEMM=0.28 ms
Iter 90: total=3.00 ms, PRG=0.07 ms, comm=2.20 ms, GEMM=0.28 ms
Iter 91: total=3.00 ms, PRG=0.07 ms, comm=2.19 ms, GEMM=0.28 ms
Iter 92: total=2.99 ms, PRG=0.07 ms, comm=2.17 ms, GEMM=0.28 ms
Iter 93: total=3.07 ms, PRG=0.07 ms, comm=2.25 ms, GEMM=0.28 ms
Iter 94: total=3.02 ms, PRG=0.07 ms, comm=2.22 ms, GEMM=0.27 ms
Iter 95: total=3.02 ms, PRG=0.07 ms, comm=2.22 ms, GEMM=0.28 ms
Iter 96: total=3.04 ms, PRG=0.07 ms, comm=2.24 ms, GEMM=0.28 ms
Iter 97: total=3.01 ms, PRG=0.07 ms, comm=2.21 ms, GEMM=0.28 ms
Iter 98: total=3.05 ms, PRG=0.07 ms, comm=2.23 ms, GEMM=0.28 ms
Iter 99: total=3.04 ms, PRG=0.07 ms, comm=2.20 ms, GEMM=0.28 ms
Iter 100: total=3.02 ms, PRG=0.07 ms, comm=2.19 ms, GEMM=0.28 ms
Iter 101: total=3.08 ms, PRG=0.07 ms, comm=2.28 ms, GEMM=0.27 ms
Iter 102: total=3.01 ms, PRG=0.07 ms, comm=2.20 ms, GEMM=0.28 ms
Iter 103: total=3.05 ms, PRG=0.07 ms, comm=2.22 ms, GEMM=0.28 ms
Iter 104: total=3.02 ms, PRG=0.07 ms, comm=2.21 ms, GEMM=0.28 ms
Iter 105: total=3.01 ms, PRG=0.07 ms, comm=2.21 ms, GEMM=0.28 ms
Iter 106: total=3.03 ms, PRG=0.07 ms, comm=2.21 ms, GEMM=0.28 ms
Iter 107: total=3.02 ms, PRG=0.07 ms, comm=2.19 ms, GEMM=0.28 ms
Iter 108: total=3.04 ms, PRG=0.07 ms, comm=2.24 ms, GEMM=0.28 ms
Iter 109: total=3.00 ms, PRG=0.07 ms, comm=2.19 ms, GEMM=0.28 ms
Iter 110: total=3.06 ms, PRG=0.07 ms, comm=2.22 ms, GEMM=0.28 ms
Iter 111: total=3.06 ms, PRG=0.07 ms, comm=2.25 ms, GEMM=0.28 ms
Iter 112: total=3.01 ms, PRG=0.07 ms, comm=2.21 ms, GEMM=0.28 ms
Iter 113: total=3.00 ms, PRG=0.07 ms, comm=2.20 ms, GEMM=0.27 ms
