label,kind,total_s,online_s,offline_s,sent_mb,recv_mb,wire_tb,comm_gb,bw_gbps,tput_cps,prg_s,localmm_s,gilboa_s,file_s,ot_calls,total_ots,M,K,N,iterations,total_s_all_iterations,comm_s,gemm_s,source_log
gpt2_W_QKV,online,0.002017769999999992,0.002017769999999992,,5.505024,5.505024,5.505024e-06,0.005505024,21.82617047532681,,7.002999999999965e-05,,,,,,128,768,768,1000,2.017769999999992,0.0010721799999999925,0.0002713300000000028,/home/ylu18/luoresearch/2PC/results/gpt2_hybrid_20260505_050608/brillm_online_gpt2_W_QKV.log
gpt2_W_O,online,0.002064009999999967,0.002064009999999967,,5.505024,5.505024,5.505024e-06,0.005505024,21.33719894767986,,7.001999999999964e-05,,,,,,128,768,768,1000,2.064009999999967,0.0011242700000000027,0.000272820000000002,/home/ylu18/luoresearch/2PC/results/gpt2_hybrid_20260505_050608/brillm_online_gpt2_W_O.log
gpt2_W_1,online,0.009687599999999985,0.009687599999999985,,19.6608,19.6608,1.96608e-05,0.0196608,16.235847888021826,,0.0002505800000000006,,,,,,128,768,3072,500,4.843799999999993,0.006883179999999996,0.001005939999999995,/home/ylu18/luoresearch/2PC/results/gpt2_hybrid_20260505_050608/brillm_online_gpt2_W_1.log
gpt2_W_2,online,0.0112339,0.0112339,,22.020096,22.020096,2.2020096e-05,0.022020096,15.681176439170725,,0.000281840000000001,,,,,,128,3072,768,500,5.61695,0.008035160000000008,0.0012046599999999989,/home/ylu18/luoresearch/2PC/results/gpt2_hybrid_20260505_050608/brillm_online_gpt2_W_2.log
gpt2_QKT,online,0.00010238999999999865,0.00010238999999999865,,0.131072,0.131072,1.31072e-07,0.00013107199999999998,10.241000097665925,,1.0039999999999831e-05,,,,,,128,64,128,1000,0.10238999999999865,4.030999999999934e-05,2.0009999999999664e-05,/home/ylu18/luoresearch/2PC/results/gpt2_hybrid_20260505_050608/brillm_online_gpt2_QKT.log
gpt2_scoresV,online,0.00013128999999999843,0.00013128999999999843,,0.196608,0.196608,1.96608e-07,0.000196608,11.980074643918188,,1.004999999999983e-05,,,,,,128,128,64,1000,0.13128999999999844,5.0399999999999355e-05,2.8750000000000255e-05,/home/ylu18/luoresearch/2PC/results/gpt2_hybrid_20260505_050608/brillm_online_gpt2_scoresV.log
