node,module,input_shape,output_shape,count,time_ms_sum,time_ms_avg,comm_mb_sum,comm_mb_avg,rounds_sum,rounds_avg
output,MatMul,"[(1, 128, 768), (768, 50257)]","(1, 128, 50257)",1,1696.511269,1696.511269,590.449219,590.449219,1.0,1.0
/transformer/h.6/mlp/c_proj/Gemm_output_0,Gemm,"[(128, 3072), (3072, 768), (768,)]","(128, 768)",1,118.183613,118.183613,42.0,42.0,1.0,1.0
/transformer/h.4/mlp/c_proj/Gemm_output_0,Gemm,"[(128, 3072), (3072, 768), (768,)]","(128, 768)",1,117.37752,117.37752,42.0,42.0,1.0,1.0
/transformer/h.11/mlp/c_proj/Gemm_output_0,Gemm,"[(128, 3072), (3072, 768), (768,)]","(128, 768)",1,117.237329,117.237329,42.0,42.0,1.0,1.0
/transformer/h.3/mlp/c_proj/Gemm_output_0,Gemm,"[(128, 3072), (3072, 768), (768,)]","(128, 768)",1,115.847588,115.847588,42.0,42.0,1.0,1.0
/transformer/h.5/mlp/c_proj/Gemm_output_0,Gemm,"[(128, 3072), (3072, 768), (768,)]","(128, 768)",1,115.390778,115.390778,42.0,42.0,1.0,1.0
/transformer/h.0/mlp/c_proj/Gemm_output_0,Gemm,"[(128, 3072), (3072, 768), (768,)]","(128, 768)",1,115.261078,115.261078,42.0,42.0,1.0,1.0
/transformer/h.9/mlp/c_proj/Gemm_output_0,Gemm,"[(128, 3072), (3072, 768), (768,)]","(128, 768)",1,115.076303,115.076303,42.0,42.0,1.0,1.0
/transformer/h.7/mlp/c_proj/Gemm_output_0,Gemm,"[(128, 3072), (3072, 768), (768,)]","(128, 768)",1,115.026712,115.026712,42.0,42.0,1.0,1.0
/transformer/h.8/mlp/c_proj/Gemm_output_0,Gemm,"[(128, 3072), (3072, 768), (768,)]","(128, 768)",1,114.877939,114.877939,42.0,42.0,1.0,1.0
/transformer/h.10/mlp/c_proj/Gemm_output_0,Gemm,"[(128, 3072), (3072, 768), (768,)]","(128, 768)",1,114.743233,114.743233,42.0,42.0,1.0,1.0
/transformer/h.2/mlp/c_proj/Gemm_output_0,Gemm,"[(128, 3072), (3072, 768), (768,)]","(128, 768)",1,114.56728,114.56728,42.0,42.0,1.0,1.0
/transformer/h.1/mlp/c_proj/Gemm_output_0,Gemm,"[(128, 3072), (3072, 768), (768,)]","(128, 768)",1,114.21895,114.21895,42.0,42.0,1.0,1.0
/transformer/h.3/mlp/c_fc/Gemm_output_0,Gemm,"[(128, 768), (768, 3072), (3072,)]","(128, 3072)",1,108.896494,108.896494,37.5,37.5,1.0,1.0
/transformer/h.2/mlp/c_fc/Gemm_output_0,Gemm,"[(128, 768), (768, 3072), (3072,)]","(128, 3072)",1,108.248949,108.248949,37.5,37.5,1.0,1.0
/transformer/h.9/mlp/c_fc/Gemm_output_0,Gemm,"[(128, 768), (768, 3072), (3072,)]","(128, 3072)",1,107.265711,107.265711,37.5,37.5,1.0,1.0
/transformer/h.5/mlp/c_fc/Gemm_output_0,Gemm,"[(128, 768), (768, 3072), (3072,)]","(128, 3072)",1,107.237101,107.237101,37.5,37.5,1.0,1.0
/transformer/h.11/mlp/c_fc/Gemm_output_0,Gemm,"[(128, 768), (768, 3072), (3072,)]","(128, 3072)",1,107.020617,107.020617,37.5,37.5,1.0,1.0
/transformer/h.4/mlp/c_fc/Gemm_output_0,Gemm,"[(128, 768), (768, 3072), (3072,)]","(128, 3072)",1,106.601477,106.601477,37.5,37.5,1.0,1.0
/transformer/h.6/mlp/c_fc/Gemm_output_0,Gemm,"[(128, 768), (768, 3072), (3072,)]","(128, 3072)",1,106.45628,106.45628,37.5,37.5,1.0,1.0
/transformer/h.7/mlp/c_fc/Gemm_output_0,Gemm,"[(128, 768), (768, 3072), (3072,)]","(128, 3072)",1,106.210947,106.210947,37.5,37.5,1.0,1.0
/transformer/h.10/mlp/c_fc/Gemm_output_0,Gemm,"[(128, 768), (768, 3072), (3072,)]","(128, 3072)",1,105.19743,105.19743,37.5,37.5,1.0,1.0
/transformer/h.8/mlp/c_fc/Gemm_output_0,Gemm,"[(128, 768), (768, 3072), (3072,)]","(128, 3072)",1,104.811907,104.811907,37.5,37.5,1.0,1.0
/transformer/h.1/mlp/c_fc/Gemm_output_0,Gemm,"[(128, 768), (768, 3072), (3072,)]","(128, 3072)",1,104.669333,104.669333,37.5,37.5,1.0,1.0
/transformer/h.0/mlp/c_fc/Gemm_output_0,Gemm,"[(128, 768), (768, 3072), (3072,)]","(128, 3072)",1,104.57921,104.57921,37.5,37.5,1.0,1.0
/transformer/h.10/attn/c_attn/Gemm_output_0,Gemm,"[(128, 768), (768, 2304), (2304,)]","(128, 2304)",1,83.664179,83.664179,28.5,28.5,1.0,1.0
/transformer/h.1/attn/c_attn/Gemm_output_0,Gemm,"[(128, 768), (768, 2304), (2304,)]","(128, 2304)",1,82.505226,82.505226,28.5,28.5,1.0,1.0
/transformer/h.5/attn/c_attn/Gemm_output_0,Gemm,"[(128, 768), (768, 2304), (2304,)]","(128, 2304)",1,82.177877,82.177877,28.5,28.5,1.0,1.0
/transformer/h.9/attn/c_attn/Gemm_output_0,Gemm,"[(128, 768), (768, 2304), (2304,)]","(128, 2304)",1,81.482649,81.482649,28.5,28.5,1.0,1.0
/transformer/h.11/attn/c_attn/Gemm_output_0,Gemm,"[(128, 768), (768, 2304), (2304,)]","(128, 2304)",1,81.290245,81.290245,28.5,28.5,1.0,1.0
/transformer/h.4/attn/c_attn/Gemm_output_0,Gemm,"[(128, 768), (768, 2304), (2304,)]","(128, 2304)",1,80.916405,80.916405,28.5,28.5,1.0,1.0
/transformer/h.8/attn/c_attn/Gemm_output_0,Gemm,"[(128, 768), (768, 2304), (2304,)]","(128, 2304)",1,80.827236,80.827236,28.5,28.5,1.0,1.0
/transformer/h.0/attn/c_attn/Gemm_output_0,Gemm,"[(128, 768), (768, 2304), (2304,)]","(128, 2304)",1,80.489397,80.489397,28.5,28.5,1.0,1.0
/transformer/h.6/attn/c_attn/Gemm_output_0,Gemm,"[(128, 768), (768, 2304), (2304,)]","(128, 2304)",1,80.333948,80.333948,28.5,28.5,1.0,1.0
/transformer/h.2/attn/c_attn/Gemm_output_0,Gemm,"[(128, 768), (768, 2304), (2304,)]","(128, 2304)",1,80.306768,80.306768,28.5,28.5,1.0,1.0
/transformer/h.7/attn/c_attn/Gemm_output_0,Gemm,"[(128, 768), (768, 2304), (2304,)]","(128, 2304)",1,80.019236,80.019236,28.5,28.5,1.0,1.0
/transformer/h.3/attn/c_attn/Gemm_output_0,Gemm,"[(128, 768), (768, 2304), (2304,)]","(128, 2304)",1,76.769352,76.769352,28.5,28.5,1.0,1.0
/transformer/h.5/attn/c_proj/Gemm_output_0,Gemm,"[(128, 768), (768, 768), (768,)]","(128, 768)",1,33.017397,33.017397,10.5,10.5,1.0,1.0
/transformer/h.0/attn/c_proj/Gemm_output_0,Gemm,"[(128, 768), (768, 768), (768,)]","(128, 768)",1,32.622814,32.622814,10.5,10.5,1.0,1.0
/transformer/h.2/attn/c_proj/Gemm_output_0,Gemm,"[(128, 768), (768, 768), (768,)]","(128, 768)",1,32.026052,32.026052,10.5,10.5,1.0,1.0
/transformer/h.7/attn/c_proj/Gemm_output_0,Gemm,"[(128, 768), (768, 768), (768,)]","(128, 768)",1,31.837225,31.837225,10.5,10.5,1.0,1.0
/transformer/h.6/attn/c_proj/Gemm_output_0,Gemm,"[(128, 768), (768, 768), (768,)]","(128, 768)",1,31.815529,31.815529,10.5,10.5,1.0,1.0
/transformer/h.8/attn/c_proj/Gemm_output_0,Gemm,"[(128, 768), (768, 768), (768,)]","(128, 768)",1,31.73399,31.73399,10.5,10.5,1.0,1.0
/transformer/h.10/attn/c_proj/Gemm_output_0,Gemm,"[(128, 768), (768, 768), (768,)]","(128, 768)",1,31.558037,31.558037,10.5,10.5,1.0,1.0
/transformer/h.4/attn/c_proj/Gemm_output_0,Gemm,"[(128, 768), (768, 768), (768,)]","(128, 768)",1,31.265259,31.265259,10.5,10.5,1.0,1.0
/transformer/h.11/attn/c_proj/Gemm_output_0,Gemm,"[(128, 768), (768, 768), (768,)]","(128, 768)",1,31.116962,31.116962,10.5,10.5,1.0,1.0
/transformer/h.1/attn/c_proj/Gemm_output_0,Gemm,"[(128, 768), (768, 768), (768,)]","(128, 768)",1,31.015635,31.015635,10.5,10.5,1.0,1.0
/transformer/h.3/attn/c_proj/Gemm_output_0,Gemm,"[(128, 768), (768, 768), (768,)]","(128, 768)",1,31.014681,31.014681,10.5,10.5,1.0,1.0
/transformer/h.9/attn/c_proj/Gemm_output_0,Gemm,"[(128, 768), (768, 768), (768,)]","(128, 768)",1,30.840635,30.840635,10.5,10.5,1.0,1.0
/transformer/h.6/attn/MatMul_1_output_0,MatMul,"[(1, 12, 128, 128), (1, 12, 128, 64)]","(1, 12, 128, 64)",1,14.455318,14.455318,4.5,4.5,1.0,1.0
/transformer/h.7/attn/MatMul_1_output_0,MatMul,"[(1, 12, 128, 128), (1, 12, 128, 64)]","(1, 12, 128, 64)",1,14.249563,14.249563,4.5,4.5,1.0,1.0
/transformer/h.2/attn/MatMul_1_output_0,MatMul,"[(1, 12, 128, 128), (1, 12, 128, 64)]","(1, 12, 128, 64)",1,14.128685,14.128685,4.5,4.5,1.0,1.0
/transformer/h.10/attn/MatMul_1_output_0,MatMul,"[(1, 12, 128, 128), (1, 12, 128, 64)]","(1, 12, 128, 64)",1,14.109612,14.109612,4.5,4.5,1.0,1.0
/transformer/h.9/attn/MatMul_1_output_0,MatMul,"[(1, 12, 128, 128), (1, 12, 128, 64)]","(1, 12, 128, 64)",1,14.057159,14.057159,4.5,4.5,1.0,1.0
/transformer/h.0/attn/MatMul_1_output_0,MatMul,"[(1, 12, 128, 128), (1, 12, 128, 64)]","(1, 12, 128, 64)",1,13.992071,13.992071,4.5,4.5,1.0,1.0
/transformer/h.5/attn/MatMul_1_output_0,MatMul,"[(1, 12, 128, 128), (1, 12, 128, 64)]","(1, 12, 128, 64)",1,13.92889,13.92889,4.5,4.5,1.0,1.0
/transformer/h.4/attn/MatMul_1_output_0,MatMul,"[(1, 12, 128, 128), (1, 12, 128, 64)]","(1, 12, 128, 64)",1,13.900757,13.900757,4.5,4.5,1.0,1.0
/transformer/h.11/attn/MatMul_1_output_0,MatMul,"[(1, 12, 128, 128), (1, 12, 128, 64)]","(1, 12, 128, 64)",1,13.86404,13.86404,4.5,4.5,1.0,1.0
/transformer/h.8/attn/MatMul_1_output_0,MatMul,"[(1, 12, 128, 128), (1, 12, 128, 64)]","(1, 12, 128, 64)",1,13.776302,13.776302,4.5,4.5,1.0,1.0
/transformer/h.1/attn/MatMul_1_output_0,MatMul,"[(1, 12, 128, 128), (1, 12, 128, 64)]","(1, 12, 128, 64)",1,13.719797,13.719797,4.5,4.5,1.0,1.0
/transformer/h.3/attn/MatMul_1_output_0,MatMul,"[(1, 12, 128, 128), (1, 12, 128, 64)]","(1, 12, 128, 64)",1,13.599873,13.599873,4.5,4.5,1.0,1.0
/transformer/h.5/attn/MatMul_output_0,MatMul,"[(1, 12, 128, 64), (1, 12, 64, 128)]","(1, 12, 128, 128)",1,11.251926,11.251926,3.0,3.0,1.0,1.0
/transformer/h.8/attn/MatMul_output_0,MatMul,"[(1, 12, 128, 64), (1, 12, 64, 128)]","(1, 12, 128, 128)",1,10.879278,10.879278,3.0,3.0,1.0,1.0
/transformer/h.10/attn/MatMul_output_0,MatMul,"[(1, 12, 128, 64), (1, 12, 64, 128)]","(1, 12, 128, 128)",1,10.835886,10.835886,3.0,3.0,1.0,1.0
/transformer/h.11/attn/MatMul_output_0,MatMul,"[(1, 12, 128, 64), (1, 12, 64, 128)]","(1, 12, 128, 128)",1,10.548353,10.548353,3.0,3.0,1.0,1.0
/transformer/h.1/attn/MatMul_output_0,MatMul,"[(1, 12, 128, 64), (1, 12, 64, 128)]","(1, 12, 128, 128)",1,10.3333,10.3333,3.0,3.0,1.0,1.0
/transformer/h.4/attn/MatMul_output_0,MatMul,"[(1, 12, 128, 64), (1, 12, 64, 128)]","(1, 12, 128, 128)",1,10.30302,10.30302,3.0,3.0,1.0,1.0
/transformer/h.0/attn/MatMul_output_0,MatMul,"[(1, 12, 128, 64), (1, 12, 64, 128)]","(1, 12, 128, 128)",1,10.270596,10.270596,3.0,3.0,1.0,1.0
/transformer/h.6/attn/MatMul_output_0,MatMul,"[(1, 12, 128, 64), (1, 12, 64, 128)]","(1, 12, 128, 128)",1,10.263443,10.263443,3.0,3.0,1.0,1.0
/transformer/h.2/attn/MatMul_output_0,MatMul,"[(1, 12, 128, 64), (1, 12, 64, 128)]","(1, 12, 128, 128)",1,10.061026,10.061026,3.0,3.0,1.0,1.0
/transformer/h.3/attn/MatMul_output_0,MatMul,"[(1, 12, 128, 64), (1, 12, 64, 128)]","(1, 12, 128, 128)",1,9.999514,9.999514,3.0,3.0,1.0,1.0
/transformer/h.7/attn/MatMul_output_0,MatMul,"[(1, 12, 128, 64), (1, 12, 64, 128)]","(1, 12, 128, 128)",1,9.990931,9.990931,3.0,3.0,1.0,1.0
/transformer/h.9/attn/MatMul_output_0,MatMul,"[(1, 12, 128, 64), (1, 12, 64, 128)]","(1, 12, 128, 128)",1,9.410381,9.410381,3.0,3.0,1.0,1.0
