idx,node,module,input_shape,output_shape,time_ms,comm_mb,rounds
1,/transformer/h.0/attn/c_attn/Gemm_output_0,Gemm,"[(128, 768), (768, 2304), (2304,)]","(128, 2304)",80.489397,28.5,1.0
2,/transformer/h.0/attn/MatMul_output_0,MatMul,"[(1, 12, 128, 64), (1, 12, 64, 128)]","(1, 12, 128, 128)",10.270596,3.0,1.0
3,/transformer/h.0/attn/MatMul_1_output_0,MatMul,"[(1, 12, 128, 128), (1, 12, 128, 64)]","(1, 12, 128, 64)",13.992071,4.5,1.0
4,/transformer/h.0/attn/c_proj/Gemm_output_0,Gemm,"[(128, 768), (768, 768), (768,)]","(128, 768)",32.622814,10.5,1.0
5,/transformer/h.0/mlp/c_fc/Gemm_output_0,Gemm,"[(128, 768), (768, 3072), (3072,)]","(128, 3072)",104.57921,37.5,1.0
6,/transformer/h.0/mlp/c_proj/Gemm_output_0,Gemm,"[(128, 3072), (3072, 768), (768,)]","(128, 768)",115.261078,42.0,1.0
7,/transformer/h.1/attn/c_attn/Gemm_output_0,Gemm,"[(128, 768), (768, 2304), (2304,)]","(128, 2304)",82.505226,28.5,1.0
8,/transformer/h.1/attn/MatMul_output_0,MatMul,"[(1, 12, 128, 64), (1, 12, 64, 128)]","(1, 12, 128, 128)",10.3333,3.0,1.0
9,/transformer/h.1/attn/MatMul_1_output_0,MatMul,"[(1, 12, 128, 128), (1, 12, 128, 64)]","(1, 12, 128, 64)",13.719797,4.5,1.0
10,/transformer/h.1/attn/c_proj/Gemm_output_0,Gemm,"[(128, 768), (768, 768), (768,)]","(128, 768)",31.015635,10.5,1.0
11,/transformer/h.1/mlp/c_fc/Gemm_output_0,Gemm,"[(128, 768), (768, 3072), (3072,)]","(128, 3072)",104.669333,37.5,1.0
12,/transformer/h.1/mlp/c_proj/Gemm_output_0,Gemm,"[(128, 3072), (3072, 768), (768,)]","(128, 768)",114.21895,42.0,1.0
13,/transformer/h.2/attn/c_attn/Gemm_output_0,Gemm,"[(128, 768), (768, 2304), (2304,)]","(128, 2304)",80.306768,28.5,1.0
14,/transformer/h.2/attn/MatMul_output_0,MatMul,"[(1, 12, 128, 64), (1, 12, 64, 128)]","(1, 12, 128, 128)",10.061026,3.0,1.0
15,/transformer/h.2/attn/MatMul_1_output_0,MatMul,"[(1, 12, 128, 128), (1, 12, 128, 64)]","(1, 12, 128, 64)",14.128685,4.5,1.0
16,/transformer/h.2/attn/c_proj/Gemm_output_0,Gemm,"[(128, 768), (768, 768), (768,)]","(128, 768)",32.026052,10.5,1.0
17,/transformer/h.2/mlp/c_fc/Gemm_output_0,Gemm,"[(128, 768), (768, 3072), (3072,)]","(128, 3072)",108.248949,37.5,1.0
18,/transformer/h.2/mlp/c_proj/Gemm_output_0,Gemm,"[(128, 3072), (3072, 768), (768,)]","(128, 768)",114.56728,42.0,1.0
19,/transformer/h.3/attn/c_attn/Gemm_output_0,Gemm,"[(128, 768), (768, 2304), (2304,)]","(128, 2304)",76.769352,28.5,1.0
20,/transformer/h.3/attn/MatMul_output_0,MatMul,"[(1, 12, 128, 64), (1, 12, 64, 128)]","(1, 12, 128, 128)",9.999514,3.0,1.0
21,/transformer/h.3/attn/MatMul_1_output_0,MatMul,"[(1, 12, 128, 128), (1, 12, 128, 64)]","(1, 12, 128, 64)",13.599873,4.5,1.0
22,/transformer/h.3/attn/c_proj/Gemm_output_0,Gemm,"[(128, 768), (768, 768), (768,)]","(128, 768)",31.014681,10.5,1.0
23,/transformer/h.3/mlp/c_fc/Gemm_output_0,Gemm,"[(128, 768), (768, 3072), (3072,)]","(128, 3072)",108.896494,37.5,1.0
24,/transformer/h.3/mlp/c_proj/Gemm_output_0,Gemm,"[(128, 3072), (3072, 768), (768,)]","(128, 768)",115.847588,42.0,1.0
25,/transformer/h.4/attn/c_attn/Gemm_output_0,Gemm,"[(128, 768), (768, 2304), (2304,)]","(128, 2304)",80.916405,28.5,1.0
26,/transformer/h.4/attn/MatMul_output_0,MatMul,"[(1, 12, 128, 64), (1, 12, 64, 128)]","(1, 12, 128, 128)",10.30302,3.0,1.0
27,/transformer/h.4/attn/MatMul_1_output_0,MatMul,"[(1, 12, 128, 128), (1, 12, 128, 64)]","(1, 12, 128, 64)",13.900757,4.5,1.0
28,/transformer/h.4/attn/c_proj/Gemm_output_0,Gemm,"[(128, 768), (768, 768), (768,)]","(128, 768)",31.265259,10.5,1.0
29,/transformer/h.4/mlp/c_fc/Gemm_output_0,Gemm,"[(128, 768), (768, 3072), (3072,)]","(128, 3072)",106.601477,37.5,1.0
30,/transformer/h.4/mlp/c_proj/Gemm_output_0,Gemm,"[(128, 3072), (3072, 768), (768,)]","(128, 768)",117.37752,42.0,1.0
31,/transformer/h.5/attn/c_attn/Gemm_output_0,Gemm,"[(128, 768), (768, 2304), (2304,)]","(128, 2304)",82.177877,28.5,1.0
32,/transformer/h.5/attn/MatMul_output_0,MatMul,"[(1, 12, 128, 64), (1, 12, 64, 128)]","(1, 12, 128, 128)",11.251926,3.0,1.0
