label,kind,total_s,online_s,offline_s,sent_mb,recv_mb,wire_tb,comm_gb,bw_gbps,tput_cps,prg_s,localmm_s,gilboa_s,file_s,ot_calls,total_ots,M,K,N,iterations,total_s_all_iterations,comm_s,gemm_s,source_log
llama_W_QKV,online,0.11877059999999998,0.11877059999999998,,134.479872,134.479872,0.000134479872,0.134479872,9.058125293633275,,0.0016668000000000024,,,,,,8,4096,4096,100,11.877059999999998,0.10593870000000001,0.0011128000000000006,/home/ylu18/luoresearch/2PC/results/llama2_experiment_20260505_034553/brillm_online_llama_W_QKV.log
llama_W_O,online,0.11984630000000003,0.11984630000000003,,134.479872,134.479872,0.000134479872,0.134479872,8.976822613630956,,0.0016778000000000019,,,,,,8,4096,4096,100,11.984630000000003,0.10700259999999998,0.0011155000000000002,/home/ylu18/luoresearch/2PC/results/llama2_experiment_20260505_034553/brillm_online_llama_W_O.log
llama_W_gateup,online,0.3110126000000001,0.3110126000000001,,360.972288,360.972288,0.000360972288,0.360972288,9.285084604289342,,0.004483600000000005,,,,,,8,4096,11008,100,31.101260000000007,0.27730299999999997,0.002359200000000002,/home/ylu18/luoresearch/2PC/results/llama2_experiment_20260505_034553/brillm_online_llama_W_gateup.log
llama_W_down,online,0.3127912,0.3127912,,361.414656,361.414656,0.000361414656,0.361414656,9.243601635851649,,0.004489500000000006,,,,,,8,11008,4096,100,31.27912,0.27844050000000015,0.0029581999999999985,/home/ylu18/luoresearch/2PC/results/llama2_experiment_20260505_034553/brillm_online_llama_W_down.log
llama_QKT,online,8.465e-05,8.465e-05,,0.016384,0.016384,1.6384e-08,1.6383999999999998e-05,1.548399291199055,,1.0019999999999831e-05,,,,,,8,128,8,1000,0.08465,2.3109999999999784e-05,2.0129999999999667e-05,/home/ylu18/luoresearch/2PC/results/llama2_experiment_20260505_034553/brillm_online_llama_QKT.log
llama_scoresV,online,7.084999999999954e-05,7.084999999999954e-05,,0.008704,0.008704,8.704e-09,8.704e-06,0.9828087508821517,,1.0009999999999831e-05,,,,,,8,8,128,1000,0.07084999999999954,2.0919999999999695e-05,1.0159999999999826e-05,/home/ylu18/luoresearch/2PC/results/llama2_experiment_20260505_034553/brillm_online_llama_scoresV.log
