label,kind,total_s,online_s,offline_s,sent_mb,recv_mb,wire_tb,comm_gb,bw_gbps,tput_cps,prg_s,localmm_s,gilboa_s,file_s,ot_calls,total_ots,M,K,N,iterations,total_s_all_iterations,comm_s,gemm_s,source_log
bert_W_QKV,online,0.0032082500000000045,0.0032082500000000045,,5.505024,5.505024,5.505024e-06,0.005505024,13.727169640769871,,7.832999999999872e-05,,,,,,128,768,768,1000,3.2082500000000045,0.002383270000000006,0.00028569999999999973,/home/ylu18/luoresearch/2PC/results/bert_hybrid_20260505_033759/brillm_online_bert_W_QKV.log
bert_W_O,online,0.003091489999999991,0.003091489999999991,,5.505024,5.505024,5.505024e-06,0.005505024,14.245620073168642,,7.956999999999864e-05,,,,,,128,768,768,1000,3.091489999999991,0.002269329999999998,0.00028412999999999865,/home/ylu18/luoresearch/2PC/results/bert_hybrid_20260505_033759/brillm_online_bert_W_O.log
bert_W_1,online,0.01358596000000001,0.01358596000000001,,19.6608,19.6608,1.96608e-05,0.0196608,11.577128152887237,,0.0002506000000000002,,,,,,128,768,3072,500,6.7929800000000045,0.01081053999999999,0.0010083199999999957,/home/ylu18/luoresearch/2PC/results/bert_hybrid_20260505_033759/brillm_online_bert_W_1.log
bert_W_2,online,0.015356160000000004,0.015356160000000004,,22.020096,22.020096,2.2020096e-05,0.022020096,11.471667916979243,,0.000281460000000001,,,,,,128,3072,768,500,7.678080000000002,0.012168920000000001,0.0012088199999999991,/home/ylu18/luoresearch/2PC/results/bert_hybrid_20260505_033759/brillm_online_bert_W_2.log
bert_QKT,online,0.0001515500000000022,0.0001515500000000022,,0.131072,0.131072,1.31072e-07,0.00013107199999999998,6.919010227647541,,1.0039999999999831e-05,,,,,,128,64,128,1000,0.15155000000000218,8.228999999999915e-05,2.0029999999999664e-05,/home/ylu18/luoresearch/2PC/results/bert_hybrid_20260505_033759/brillm_online_bert_QKT.log
bert_scoresV,online,0.0002305599999999978,0.0002305599999999978,,0.196608,0.196608,1.96608e-07,0.000196608,6.8219292158224105,,1.0019999999999831e-05,,,,,,128,128,64,1000,0.2305599999999978,0.00014805000000000067,3.0020000000000383e-05,/home/ylu18/luoresearch/2PC/results/bert_hybrid_20260505_033759/brillm_online_bert_scoresV.log
