label,kind,total_s,online_s,offline_s,sent_mb,recv_mb,wire_tb,comm_gb,bw_gbps,tput_cps,prg_s,localmm_s,gilboa_s,file_s,ot_calls,total_ots,M,K,N,iterations,total_s_all_iterations,comm_s,gemm_s,source_log
bert_W_QKV,online,0.0020355499999999806,0.0020355499999999806,,5.505024,5.505024,5.505024e-06,0.005505024,21.635524551104332,,7.004999999999964e-05,,,,,,128,768,768,1000,2.0355499999999807,0.0010943400000000079,0.000270790000000003,/home/ylu18/luoresearch/2PC/results/bert_hybrid_20260505_051119/brillm_online_bert_W_QKV.log
bert_W_O,online,0.0020577299999999703,0.0020577299999999703,,5.505024,5.505024,5.505024e-06,0.005505024,21.40231808837925,,7.003999999999965e-05,,,,,,128,768,768,1000,2.0577299999999705,0.0011117800000000036,0.0002712200000000028,/home/ylu18/luoresearch/2PC/results/bert_hybrid_20260505_051119/brillm_online_bert_W_O.log
bert_W_1,online,0.009724579999999997,0.009724579999999997,,19.6608,19.6608,1.96608e-05,0.0196608,16.17410726221596,,0.0002539200000000014,,,,,,128,768,3072,500,4.862289999999998,0.0069270599999999944,0.0010050599999999953,/home/ylu18/luoresearch/2PC/results/bert_hybrid_20260505_051119/brillm_online_bert_W_1.log
bert_W_2,online,0.011092940000000003,0.011092940000000003,,22.020096,22.020096,2.2020096e-05,0.022020096,15.880439991562197,,0.000281740000000001,,,,,,128,3072,768,500,5.546470000000001,0.007895539999999993,0.0012036799999999997,/home/ylu18/luoresearch/2PC/results/bert_hybrid_20260505_051119/brillm_online_bert_W_2.log
bert_QKT,online,0.00010221999999999865,0.00010221999999999865,,0.131072,0.131072,1.31072e-07,0.00013107199999999998,10.25803169634136,,1.0009999999999831e-05,,,,,,128,64,128,1000,0.10221999999999865,4.027999999999933e-05,2.0029999999999664e-05,/home/ylu18/luoresearch/2PC/results/bert_hybrid_20260505_051119/brillm_online_bert_QKT.log
bert_scoresV,online,0.00013122999999999835,0.00013122999999999835,,0.196608,0.196608,1.96608e-07,0.000196608,11.985552084127256,,1.0029999999999831e-05,,,,,,128,128,64,1000,0.13122999999999835,5.0539999999999316e-05,2.861000000000023e-05,/home/ylu18/luoresearch/2PC/results/bert_hybrid_20260505_051119/brillm_online_bert_scoresV.log
