idx,node,module,input_shape,output_shape,time_ms,comm_mb,rounds
41,/transformer/h.6/mlp/c_fc/Gemm_output_0,Gemm,"[(128, 768), (768, 3072), (3072,)]","(128, 3072)",104.866743,37.5,1.0
42,/transformer/h.6/mlp/c_proj/Gemm_output_0,Gemm,"[(128, 3072), (3072, 768), (768,)]","(128, 768)",117.605209,42.0,1.0
43,/transformer/h.7/attn/c_attn/Gemm_output_0,Gemm,"[(128, 768), (768, 2304), (2304,)]","(128, 2304)",84.016085,28.5,1.0
44,/transformer/h.7/attn/MatMul_output_0,MatMul,"[(1, 12, 128, 64), (1, 12, 64, 128)]","(1, 12, 128, 128)",9.895802,3.0,1.0
45,/transformer/h.7/attn/MatMul_1_output_0,MatMul,"[(1, 12, 128, 128), (1, 12, 128, 64)]","(1, 12, 128, 64)",13.430357,4.5,1.0
46,/transformer/h.7/attn/c_proj/Gemm_output_0,Gemm,"[(128, 768), (768, 768), (768,)]","(128, 768)",31.707048,10.5,1.0
47,/transformer/h.7/mlp/c_fc/Gemm_output_0,Gemm,"[(128, 768), (768, 3072), (3072,)]","(128, 3072)",107.666254,37.5,1.0
48,/transformer/h.7/mlp/c_proj/Gemm_output_0,Gemm,"[(128, 3072), (3072, 768), (768,)]","(128, 768)",112.413168,42.0,1.0
49,/transformer/h.8/attn/c_attn/Gemm_output_0,Gemm,"[(128, 768), (768, 2304), (2304,)]","(128, 2304)",80.569983,28.5,1.0
50,/transformer/h.8/attn/MatMul_output_0,MatMul,"[(1, 12, 128, 64), (1, 12, 64, 128)]","(1, 12, 128, 128)",9.479761,3.0,1.0
51,/transformer/h.8/attn/MatMul_1_output_0,MatMul,"[(1, 12, 128, 128), (1, 12, 128, 64)]","(1, 12, 128, 64)",13.274193,4.5,1.0
52,/transformer/h.8/attn/c_proj/Gemm_output_0,Gemm,"[(128, 768), (768, 768), (768,)]","(128, 768)",30.184269,10.5,1.0
53,/transformer/h.8/mlp/c_fc/Gemm_output_0,Gemm,"[(128, 768), (768, 3072), (3072,)]","(128, 3072)",106.268883,37.5,1.0
54,/transformer/h.8/mlp/c_proj/Gemm_output_0,Gemm,"[(128, 3072), (3072, 768), (768,)]","(128, 768)",107.023001,42.0,1.0
55,/transformer/h.9/attn/c_attn/Gemm_output_0,Gemm,"[(128, 768), (768, 2304), (2304,)]","(128, 2304)",79.893827,28.5,1.0
56,/transformer/h.9/attn/MatMul_output_0,MatMul,"[(1, 12, 128, 64), (1, 12, 64, 128)]","(1, 12, 128, 128)",9.282827,3.0,1.0
57,/transformer/h.9/attn/MatMul_1_output_0,MatMul,"[(1, 12, 128, 128), (1, 12, 128, 64)]","(1, 12, 128, 64)",14.415741,4.5,1.0
58,/transformer/h.9/attn/c_proj/Gemm_output_0,Gemm,"[(128, 768), (768, 768), (768,)]","(128, 768)",30.644894,10.5,1.0
59,/transformer/h.9/mlp/c_fc/Gemm_output_0,Gemm,"[(128, 768), (768, 3072), (3072,)]","(128, 3072)",106.148243,37.5,1.0
60,/transformer/h.9/mlp/c_proj/Gemm_output_0,Gemm,"[(128, 3072), (3072, 768), (768,)]","(128, 768)",113.280773,42.0,1.0
61,/transformer/h.10/attn/c_attn/Gemm_output_0,Gemm,"[(128, 768), (768, 2304), (2304,)]","(128, 2304)",77.045679,28.5,1.0
62,/transformer/h.10/attn/MatMul_output_0,MatMul,"[(1, 12, 128, 64), (1, 12, 64, 128)]","(1, 12, 128, 128)",9.456396,3.0,1.0
63,/transformer/h.10/attn/MatMul_1_output_0,MatMul,"[(1, 12, 128, 128), (1, 12, 128, 64)]","(1, 12, 128, 64)",13.734579,4.5,1.0
64,/transformer/h.10/attn/c_proj/Gemm_output_0,Gemm,"[(128, 768), (768, 768), (768,)]","(128, 768)",30.343056,10.5,1.0
65,/transformer/h.10/mlp/c_fc/Gemm_output_0,Gemm,"[(128, 768), (768, 3072), (3072,)]","(128, 3072)",108.32715,37.5,1.0
66,/transformer/h.10/mlp/c_proj/Gemm_output_0,Gemm,"[(128, 3072), (3072, 768), (768,)]","(128, 768)",107.379675,42.0,1.0
67,/transformer/h.11/attn/c_attn/Gemm_output_0,Gemm,"[(128, 768), (768, 2304), (2304,)]","(128, 2304)",80.947638,28.5,1.0
68,/transformer/h.11/attn/MatMul_output_0,MatMul,"[(1, 12, 128, 64), (1, 12, 64, 128)]","(1, 12, 128, 128)",9.43017,3.0,1.0
69,/transformer/h.11/attn/MatMul_1_output_0,MatMul,"[(1, 12, 128, 128), (1, 12, 128, 64)]","(1, 12, 128, 64)",22.091627,4.5,1.0
70,/transformer/h.11/attn/c_proj/Gemm_output_0,Gemm,"[(128, 768), (768, 768), (768,)]","(128, 768)",30.572653,10.5,1.0
71,/transformer/h.11/mlp/c_fc/Gemm_output_0,Gemm,"[(128, 768), (768, 3072), (3072,)]","(128, 3072)",108.408451,37.5,1.0
72,/transformer/h.11/mlp/c_proj/Gemm_output_0,Gemm,"[(128, 3072), (3072, 768), (768,)]","(128, 768)",115.52,42.0,1.0
73,output,MatMul,"[(1, 128, 768), (768, 50257)]","(1, 128, 50257)",1637.586355,590.449219,1.0
