label,kind,total_s,online_s,offline_s,sent_mb,recv_mb,wire_tb,comm_gb,bw_gbps,tput_cps,prg_s,localmm_s,gilboa_s,file_s,ot_calls,total_ots,M,K,N,iterations,total_s_all_iterations,comm_s,gemm_s,source_log
gpt2_W_QKV,online,0.002052139999999974,0.002052139999999974,,5.505024,5.505024,5.505024e-06,0.005505024,21.460617696648647,,7.005999999999965e-05,,,,,,128,768,768,1000,2.052139999999974,0.0011107900000000032,0.00027723999999999994,/home/ylu18/luoresearch/2PC/results/gpt2_hybrid_20260505_050338/brillm_online_gpt2_W_QKV.log
gpt2_W_O,online,0.0020132399999999956,0.0020132399999999956,,5.505024,5.505024,5.505024e-06,0.005505024,21.87528163557256,,7.003999999999963e-05,,,,,,128,768,768,1000,2.0132399999999957,0.0010639899999999832,0.0002791999999999989,/home/ylu18/luoresearch/2PC/results/gpt2_hybrid_20260505_050338/brillm_online_gpt2_W_O.log
gpt2_W_1,online,0.009659920000000013,0.009659920000000013,,19.6608,19.6608,1.96608e-05,0.0196608,16.282370868495782,,0.0002536400000000014,,,,,,128,768,3072,500,4.829960000000006,0.006843320000000001,0.0010115799999999937,/home/ylu18/luoresearch/2PC/results/gpt2_hybrid_20260505_050338/brillm_online_gpt2_W_1.log
gpt2_W_2,online,0.01122965999999998,0.01122965999999998,,22.020096,22.020096,2.2020096e-05,0.022020096,15.687097205080146,,0.00028236000000000114,,,,,,128,3072,768,500,5.61482999999999,0.008027620000000001,0.0012059000000000006,/home/ylu18/luoresearch/2PC/results/gpt2_hybrid_20260505_050338/brillm_online_gpt2_W_2.log
gpt2_QKT,online,0.00010260999999999861,0.00010260999999999861,,0.131072,0.131072,1.31072e-07,0.00013107199999999998,10.219042978267364,,1.0029999999999831e-05,,,,,,128,64,128,1000,0.10260999999999862,4.0089999999999326e-05,2.0009999999999664e-05,/home/ylu18/luoresearch/2PC/results/gpt2_hybrid_20260505_050338/brillm_online_gpt2_QKT.log
gpt2_scoresV,online,0.00013099999999999828,0.00013099999999999828,,0.196608,0.196608,1.96608e-07,0.000196608,12.006595419847487,,1.0039999999999831e-05,,,,,,128,128,64,1000,0.13099999999999828,5.040999999999927e-05,2.9170000000000295e-05,/home/ylu18/luoresearch/2PC/results/gpt2_hybrid_20260505_050338/brillm_online_gpt2_scoresV.log
