metric,shaft_fourier,brillmflow_hybrid,speedup_or_reduction
Linear time (ms),149897.27926254272,44520.15616,3.3669531329546607
Linear comm (MB),104498.046875,51906.609152,2.0131934754010725
Non-linear time (ms),21711.705565452576,19524.706721305847,1.1120118665731467
Non-linear comm (MB),4743.24095249176,2307.6940774917603,2.0554028364310764
of which SiLU time (ms),2770.754814147949,157.75060653686523,17.564146819939122
of which SiLU comm (MB),2477.5390625,41.9921875,59.0
Online E2E time (ms),171608.9848279953,64044.862881305846,2.679512096794363
Online comm (MB),109241.28782749176,54214.30322949176,2.0149901653271853
