label,op,count,time_ms,comm_mb,bw_gbps
gpt2_W_QKV,W_Q/K/V,36,112.38983999999999,198.18086399999999,14.10667469586219
gpt2_W_O,W_O,12,37.129439999999875,66.060288,14.233511305314643
gpt2_W_1,W_1,12,162.1008,235.9296,11.643599538065205
gpt2_W_2,W_2,12,183.59472,264.241152,11.514106810914823
gpt2_QKT,Q@K^T,144,21.77424000000033,18.874367999999997,6.934567819588545
gpt2_scoresV,scores@V,144,32.700959999999654,28.311552,6.926170240873736
